longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-118.3,34.16,23.0,3958.0,460.0,869.0,438.0,10.0,<1H OCEAN,243600.0
-121.53,39.49,13.0,2097.0,329.0,617.0,274.0,3.2135,INLAND,50300.0
-118.34,33.97,32.0,3405.0,151.0,949.0,344.0,5.8325,<1H OCEAN,188200.0
-117.7,34.04,13.0,5301.0,1025.0,2870.0,984.0,3.5954,INLAND,163000.0
-121.9,37.16,6.0,1529.0,311.0,570.0,250.0,5.3096,<1H OCEAN,293300.0
-118.9,34.3,13.0,5591.0,1023.0,3188.0,971.0,5.5925,<1H OCEAN,208600.0
-119.82,36.72,35.0,15990.0,1284.0,927.0,238.0,3.25,INLAND,54100.0
-120.47,35.04,29.0,1315.0,279.0,926.0,249.0,2.9375,INLAND,144800.0
-122.45,37.79,4.0,4860.0,579.0,1107.0,536.0,5.5634,NEAR OCEAN,500001.0
-116.38,34.2,14.0,4985.0,1238.0,2517.0,954.0,2.0674,<1H OCEAN,65000.0
-119.27,36.32,13.0,2881.0,518.0,1432.0,504.0,4.0806,<1H OCEAN,110200.0
-122.5,37.76,10.0,9493.0,2812.0,891.0,269.0,2.6895,NEAR OCEAN,296300.0
-120.99,37.66,46.0,1750.0,605.0,754.0,356.0,2.1653,INLAND,106000.0
-117.65,34.11,15.0,2927.0,634.0,1710.0,623.0,2.475,INLAND,176600.0
-118.38,34.18,32.0,3553.0,1060.0,3129.0,1010.0,2.5603,<1H OCEAN,174200.0
-117.62,33.43,27.0,3858.0,1062.0,2321.0,873.0,3.3155,INLAND,231000.0
-117.73,34.03,10.0,2019.0,378.0,1459.0,348.0,3.0375,INLAND,118100.0
-121.57,39.16,40.0,2033.0,324.0,914.0,330.0,2.6964,INLAND,68500.0
-119.03,35.34,26.0,3474.0,986.0,1679.0,616.0,2.7256,INLAND,71900.0
-122.0,37.33,13.0,3972.0,794.0,1788.0,807.0,3.5085,<1H OCEAN,338700.0
-121.46,38.62,46.0,3326.0,696.0,2511.0,649.0,2.2401,INLAND,60900.0
-118.12,34.04,34.0,1104.0,1461.0,1355.0,434.0,5.0785,<1H OCEAN,235300.0
-118.01,33.79,13.0,6290.0,430.0,1499.0,403.0,5.7837,<1H OCEAN,258000.0
-117.34,34.02,13.0,1370.0,708.0,2047.0,636.0,1.684,INLAND,85400.0
-117.99,33.94,16.0,84.0,565.0,1214.0,521.0,3.7045,<1H OCEAN,212300.0
-122.02,37.53,21.0,6101.0,2186.0,2216.0,681.0,3.6212,<1H OCEAN,242200.0
-117.99,33.84,39.0,2079.0,288.0,1379.0,352.0,5.103,<1H OCEAN,207000.0
-118.35,34.0,23.0,2894.0,235.0,1063.0,409.0,2.2208,<1H OCEAN,372000.0
-117.08,32.75,15.0,1821.0,516.0,1385.0,439.0,2.5101,INLAND,95300.0
-117.3,34.12,30.0,4056.0,434.0,736.0,215.0,2.3406,INLAND,66900.0
-118.2,33.83,35.0,3112.0,2812.0,1305.0,583.0,7.2096,INLAND,490300.0
-121.49,38.61,6.0,4391.0,974.0,1982.0,914.0,3.4291,INLAND,105300.0
-117.88,33.74,25.0,1799.0,557.0,3416.0,538.0,3.0083,INLAND,163500.0
-116.51,33.84,10.0,980.0,193.0,454.0,185.0,4.0729,<1H OCEAN,100000.0
-121.58,37.02,27.0,2303.0,471.0,1447.0,467.0,3.4706,INLAND,203600.0
-118.34,33.86,13.0,1936.0,236.0,1008.0,346.0,5.4791,<1H OCEAN,285900.0
-121.54,39.6,13.0,3015.0,882.0,576.0,205.0,5.6917,INLAND,84100.0
-117.26,33.37,10.0,2221.0,548.0,1440.0,501.0,2.2368,NEAR BAY,154600.0
-118.33,34.09,36.0,561.0,180.0,340.0,127.0,1.4375,<1H OCEAN,165000.0
-117.95,34.03,33.0,1782.0,394.0,1517.0,376.0,3.3389,INLAND,157900.0
-121.96,38.33,3.0,7985.0,1257.0,3664.0,1215.0,4.976,<1H OCEAN,158300.0
-118.15,34.09,27.0,5077.0,783.0,1456.0,382.0,2.8062,<1H OCEAN,192800.0
-119.85,36.43,16.0,1824.0,210.0,1146.0,362.0,2.8913,INLAND,60900.0
-118.13,34.11,13.0,1780.0,1139.0,755.0,328.0,4.825,<1H OCEAN,351100.0
-118.98,35.35,21.0,624.0,902.0,511.0,124.0,2.4667,INLAND,33200.0
-122.42,37.63,23.0,1811.0,337.0,796.0,333.0,3.43,NEAR OCEAN,292900.0
-117.8,33.63,10.0,32.0,9.0,26.0,11.0,4.1944,NEAR OCEAN,270800.0
-118.39,33.85,17.0,1610.0,379.0,670.0,341.0,4.3594,<1H OCEAN,349000.0
-122.49,37.7,10.0,1946.0,2812.0,828.0,313.0,5.2811,NEAR BAY,287700.0
-122.23,37.8,10.0,7922.0,877.0,844.0,280.0,1.7273,INLAND,111900.0
-117.24,34.15,23.0,3847.0,608.0,1621.0,630.0,4.6111,INLAND,128400.0
-117.8,33.67,13.0,2487.0,388.0,1147.0,397.0,8.284,INLAND,302500.0
-122.0,38.41,13.0,2838.0,1522.0,1331.0,426.0,3.7969,INLAND,298400.0
-117.15,34.05,13.0,1442.0,219.0,633.0,230.0,5.0227,<1H OCEAN,162300.0
-122.02,37.11,37.0,2066.0,401.0,942.0,344.0,5.0111,<1H OCEAN,196400.0
-117.64,33.87,2.0,17470.0,2727.0,5964.0,1985.0,6.2308,INLAND,257900.0
-121.25,37.96,19.0,6645.0,682.0,1730.0,472.0,3.455,INLAND,68300.0
-120.9,35.69,39.0,3908.0,987.0,2105.0,796.0,5.2,<1H OCEAN,248700.0
-117.8,34.05,5.0,4536.0,1178.0,2485.0,909.0,4.1118,INLAND,125900.0
-120.55,38.45,52.0,2277.0,783.0,767.0,356.0,5.0997,INLAND,99100.0
-117.13,33.15,15.0,2241.0,381.0,997.0,390.0,3.4833,INLAND,193200.0
-118.56,34.18,36.0,3000.0,224.0,719.0,270.0,5.3359,<1H OCEAN,251000.0
-118.26,34.16,18.0,1775.0,783.0,950.0,522.0,3.5417,NEAR OCEAN,177100.0
-118.28,33.91,4.0,620.0,155.0,642.0,162.0,2.6546,<1H OCEAN,159600.0
-117.08,33.03,10.0,2296.0,450.0,818.0,405.0,4.3424,INLAND,160600.0
-121.98,38.05,31.0,757.0,379.0,1640.0,503.0,2.9137,INLAND,98500.0
-117.87,34.14,30.0,2495.0,586.0,1139.0,559.0,2.9375,NEAR OCEAN,209200.0
-118.26,34.01,13.0,1269.0,673.0,1628.0,325.0,1.5089,INLAND,115800.0
-118.13,34.15,10.0,1665.0,477.0,1095.0,390.0,2.6038,<1H OCEAN,155600.0
-119.68,36.81,13.0,2589.0,1569.0,1356.0,435.0,5.0253,<1H OCEAN,106200.0
-116.75,32.82,10.0,3348.0,481.0,1222.0,443.0,6.6361,NEAR OCEAN,308600.0
-121.39,38.61,13.0,2024.0,1163.0,786.0,364.0,3.9826,INLAND,156900.0
-117.7,33.63,16.0,4428.0,745.0,1525.0,682.0,5.2325,INLAND,286800.0
-122.25,37.77,33.0,593.0,1985.0,825.0,264.0,4.5,<1H OCEAN,208800.0
-119.57,36.71,13.0,1793.0,359.0,958.0,380.0,1.7567,INLAND,84800.0
-118.15,33.77,10.0,2996.0,896.0,1621.0,838.0,4.7475,NEAR OCEAN,339800.0
-117.69,33.58,10.0,6678.0,1011.0,2877.0,982.0,7.5177,INLAND,330000.0
-124.27,40.69,10.0,2349.0,1472.0,1194.0,465.0,3.665,INLAND,79000.0
-117.99,33.86,20.0,2303.0,612.0,1607.0,564.0,2.9,NEAR OCEAN,176100.0
-117.25,34.16,35.0,2707.0,286.0,1595.0,479.0,1.3333,INLAND,91500.0
-121.72,36.81,39.0,4946.0,701.0,1078.0,359.0,3.2969,<1H OCEAN,229900.0
-121.29,38.03,10.0,4356.0,881.0,1629.0,818.0,2.2672,NEAR OCEAN,91100.0
-122.18,37.77,10.0,909.0,236.0,396.0,157.0,3.3703,<1H OCEAN,97500.0
-118.19,34.11,10.0,1158.0,2812.0,1051.0,322.0,2.286,INLAND,169300.0
-117.02,32.81,26.0,1998.0,2812.0,874.0,305.0,5.4544,INLAND,180900.0
-118.21,34.03,52.0,497.0,132.0,547.0,121.0,2.2083,INLAND,146300.0
-121.29,36.9,13.0,6235.0,2979.0,1734.0,559.0,5.8324,INLAND,374200.0
-121.66,36.89,13.0,3480.0,331.0,1531.0,457.0,2.0294,<1H OCEAN,253500.0
-121.72,38.8,22.0,1917.0,228.0,567.0,190.0,4.9968,INLAND,78400.0
-122.28,37.86,33.0,1693.0,1626.0,393.0,189.0,3.4015,INLAND,196400.0
-122.68,38.44,36.0,1311.0,259.0,648.0,268.0,3.4545,<1H OCEAN,161200.0
-118.25,34.11,52.0,125.0,42.0,99.0,40.0,3.4375,INLAND,170000.0
-117.89,33.87,32.0,1569.0,422.0,835.0,386.0,3.0465,<1H OCEAN,148900.0
-121.71,38.56,20.0,8627.0,1516.0,4071.0,1466.0,4.2198,INLAND,164100.0
-118.31,33.96,13.0,2005.0,392.0,1134.0,415.0,3.7143,INLAND,140300.0
-122.42,37.76,39.0,18767.0,263.0,1270.0,332.0,5.0322,NEAR OCEAN,225000.0
-117.58,34.1,4.0,6360.0,1584.0,3359.0,1396.0,3.5186,<1H OCEAN,127800.0
-119.7,34.47,25.0,5613.0,5471.0,1304.0,527.0,5.5238,<1H OCEAN,500001.0
-121.21,39.24,13.0,4194.0,673.0,1355.0,566.0,4.3702,INLAND,226100.0
-119.84,34.45,23.0,6893.0,616.0,1839.0,601.0,6.3654,INLAND,331200.0
-121.8,37.32,18.0,1829.0,1946.0,1277.0,324.0,4.8092,<1H OCEAN,217400.0
-122.28,38.22,8.0,1663.0,756.0,40.0,25.0,6.1551,<1H OCEAN,275000.0
-117.31,34.17,25.0,2795.0,596.0,1650.0,569.0,3.6289,INLAND,87100.0
-121.23,37.98,13.0,849.0,961.0,373.0,131.0,8.4443,INLAND,181300.0
-119.7,36.81,13.0,3241.0,528.0,1570.0,492.0,2.7159,INLAND,68000.0
-117.94,33.64,20.0,1956.0,1570.0,871.0,399.0,2.6221,<1H OCEAN,272000.0
-119.79,36.7,13.0,4033.0,392.0,1210.0,341.0,2.3224,INLAND,49500.0
-122.09,37.37,10.0,2165.0,355.0,776.0,339.0,6.0266,NEAR BAY,442100.0
-122.24,37.76,43.0,2567.0,436.0,1119.0,415.0,1.6767,INLAND,229300.0
-117.46,34.08,18.0,3830.0,750.0,2767.0,702.0,3.6602,<1H OCEAN,120700.0
-117.11,32.82,16.0,3980.0,682.0,3174.0,647.0,2.6607,<1H OCEAN,175000.0
-122.55,38.42,26.0,1004.0,805.0,894.0,365.0,4.2891,<1H OCEAN,211700.0
-118.2,34.05,10.0,762.0,204.0,728.0,174.0,2.4886,NEAR OCEAN,137500.0
-120.93,38.77,48.0,2789.0,1477.0,788.0,341.0,5.6399,INLAND,196300.0
-116.91,32.75,5.0,8710.0,1614.0,4372.0,1527.0,4.7813,INLAND,240900.0
-118.21,33.92,28.0,2949.0,1003.0,4551.0,930.0,1.9026,ISLAND,131900.0
-122.43,37.43,17.0,11999.0,2249.0,5467.0,1989.0,4.0298,NEAR OCEAN,354300.0
-121.99,37.25,16.0,6696.0,818.0,604.0,200.0,6.2575,<1H OCEAN,500001.0
-122.43,37.73,10.0,1029.0,205.0,461.0,212.0,5.0782,NEAR BAY,310800.0
-124.14,40.77,27.0,456.0,605.0,1407.0,571.0,0.987,NEAR OCEAN,99600.0
-122.39,37.6,10.0,2304.0,141.0,986.0,379.0,5.0956,NEAR OCEAN,387100.0
-121.94,37.3,26.0,7478.0,814.0,2347.0,810.0,3.4016,<1H OCEAN,293000.0
-117.96,34.04,34.0,1381.0,265.0,1020.0,268.0,4.025,INLAND,146900.0
-121.9,36.59,10.0,3298.0,510.0,1023.0,459.0,5.0605,NEAR OCEAN,301000.0
-120.57,35.12,39.0,1656.0,1159.0,866.0,317.0,2.8824,<1H OCEAN,195200.0
-119.17,34.27,10.0,312.0,646.0,2194.0,658.0,1.6611,NEAR OCEAN,234800.0
-120.08,36.97,13.0,3356.0,846.0,1458.0,601.0,2.8456,INLAND,94200.0
-122.12,37.41,10.0,2892.0,1655.0,1250.0,581.0,2.5754,<1H OCEAN,360900.0
-118.1,33.91,36.0,1080.0,201.0,719.0,201.0,4.2679,<1H OCEAN,175800.0
-122.8,39.08,52.0,1880.0,1019.0,798.0,342.0,8.4284,INLAND,65000.0
-118.7,34.28,27.0,2975.0,178.0,467.0,144.0,3.5915,<1H OCEAN,250000.0
-121.56,39.69,13.0,2493.0,522.0,1163.0,512.0,9.08,INLAND,168300.0
-119.34,36.2,4.0,5383.0,378.0,1303.0,315.0,2.0333,INLAND,54400.0
-118.36,33.91,13.0,907.0,422.0,1184.0,423.0,3.654,<1H OCEAN,225600.0
-117.07,32.59,21.0,1779.0,466.0,1327.0,488.0,1.6007,INLAND,96200.0
-117.22,34.13,28.0,5951.0,1645.0,3204.0,1159.0,2.7011,INLAND,110200.0
-118.1,33.9,40.0,1880.0,377.0,1229.0,378.0,4.4167,<1H OCEAN,174600.0
-118.26,33.9,22.0,894.0,232.0,754.0,222.0,2.0096,<1H OCEAN,110700.0
-121.48,38.57,38.0,2809.0,805.0,1243.0,785.0,1.8512,<1H OCEAN,114100.0
-122.46,38.53,13.0,2989.0,460.0,785.0,309.0,2.5185,INLAND,275800.0
-122.23,37.81,12.0,2814.0,4952.0,878.0,352.0,7.508,<1H OCEAN,348700.0
-122.52,37.88,52.0,718.0,1453.0,88.0,46.0,5.6094,INLAND,275000.0
-119.17,34.27,30.0,4545.0,,3982.0,1483.0,4.0905,NEAR OCEAN,236500.0
-119.74,36.65,13.0,2546.0,644.0,1257.0,418.0,3.7667,INLAND,89500.0
-121.99,37.56,23.0,2328.0,1294.0,3288.0,1235.0,4.3393,<1H OCEAN,231200.0
-121.79,37.33,38.0,4213.0,614.0,2381.0,642.0,5.6345,<1H OCEAN,231000.0
-120.97,37.62,7.0,8489.0,1673.0,5807.0,1575.0,2.9451,<1H OCEAN,127800.0
-118.29,34.01,50.0,2238.0,673.0,2247.0,583.0,1.6505,NEAR OCEAN,125000.0
-118.05,33.93,31.0,894.0,203.0,883.0,190.0,3.6771,INLAND,141500.0
-122.43,37.73,10.0,1142.0,224.0,494.0,206.0,4.7466,NEAR OCEAN,298900.0
-118.03,33.83,13.0,3030.0,1661.0,1668.0,509.0,4.625,<1H OCEAN,229600.0
-120.15,39.8,13.0,680.0,595.0,366.0,140.0,3.0625,INLAND,82500.0
-118.13,34.09,46.0,3926.0,1186.0,2773.0,1102.0,5.5449,<1H OCEAN,188200.0
-118.1,34.17,48.0,1111.0,229.0,421.0,202.0,1.6829,INLAND,268100.0
-116.89,33.75,23.0,2719.0,538.0,930.0,485.0,2.0154,NEAR OCEAN,81700.0
-118.36,34.03,35.0,1819.0,441.0,1666.0,482.0,1.6452,INLAND,125900.0
-116.99,32.72,10.0,825.0,130.0,334.0,131.0,4.0391,INLAND,169500.0
-117.92,34.01,35.0,3055.0,634.0,3738.0,615.0,3.375,<1H OCEAN,127200.0
-117.31,34.39,15.0,2076.0,273.0,847.0,266.0,4.976,INLAND,123400.0
-117.65,34.11,23.0,2788.0,370.0,1140.0,385.0,5.3368,<1H OCEAN,233500.0
-118.06,34.08,34.0,1197.0,260.0,942.0,245.0,3.6037,<1H OCEAN,189100.0
-121.75,36.92,13.0,4090.0,82.0,1071.0,361.0,4.3846,<1H OCEAN,194500.0
-123.48,40.79,4.0,1560.0,160.0,287.0,104.0,1.9107,INLAND,79200.0
-118.15,33.92,23.0,5583.0,400.0,1232.0,386.0,3.0057,<1H OCEAN,184200.0
-119.65,36.62,3.0,10856.0,1683.0,1344.0,414.0,2.8807,INLAND,58000.0
-122.49,37.68,35.0,2405.0,2812.0,1583.0,471.0,2.8139,NEAR OCEAN,238000.0
-121.9,37.33,52.0,1009.0,231.0,929.0,210.0,2.5,INLAND,162500.0
-119.72,34.43,18.0,1332.0,2441.0,746.0,310.0,10.3345,<1H OCEAN,357400.0
-117.98,33.93,29.0,4873.0,499.0,1520.0,503.0,1.8,<1H OCEAN,232500.0
-118.04,33.72,10.0,4494.0,1048.0,2222.0,963.0,4.7821,INLAND,169400.0
-117.89,33.98,5.0,3088.0,711.0,1415.0,641.0,2.5125,<1H OCEAN,184500.0
-122.42,37.74,10.0,1916.0,1401.0,889.0,424.0,5.4065,NEAR OCEAN,279900.0
-118.31,34.22,23.0,7714.0,1286.0,3199.0,1100.0,4.2599,<1H OCEAN,446200.0
-118.38,34.06,23.0,8606.0,1847.0,991.0,574.0,1.2614,<1H OCEAN,362500.0
-119.84,36.84,27.0,2533.0,290.0,863.0,258.0,8.7716,INLAND,229200.0
-118.03,33.96,37.0,1745.0,365.0,1022.0,368.0,4.0536,<1H OCEAN,171400.0
-122.04,37.96,10.0,999.0,91.0,1500.0,623.0,5.2838,NEAR OCEAN,175000.0
-120.59,35.12,32.0,2041.0,879.0,1407.0,610.0,2.1702,<1H OCEAN,179700.0
-123.21,39.13,27.0,1531.0,266.0,822.0,234.0,4.0469,INLAND,127400.0
-118.16,34.17,46.0,1508.0,261.0,674.0,255.0,3.5909,INLAND,155400.0
-118.3,33.88,30.0,1437.0,1255.0,885.0,322.0,5.118,<1H OCEAN,195300.0
-118.43,34.0,36.0,2148.0,1053.0,1341.0,559.0,3.3995,<1H OCEAN,324000.0
-118.09,34.71,5.0,5807.0,1182.0,2602.0,1007.0,2.4012,<1H OCEAN,159400.0
-121.27,37.96,10.0,840.0,663.0,310.0,93.0,2.5625,INLAND,54200.0
-117.48,33.98,31.0,2451.0,475.0,1785.0,456.0,3.3966,INLAND,115000.0
-124.18,40.79,10.0,1081.0,2812.0,788.0,279.0,10.1675,NEAR OCEAN,64600.0
-122.14,37.73,36.0,1723.0,1864.0,711.0,353.0,1.976,INLAND,218400.0
-122.5,37.77,52.0,1177.0,1413.0,1252.0,415.0,5.0562,INLAND,336700.0
-117.61,33.42,31.0,3959.0,846.0,1919.0,775.0,4.0313,NEAR BAY,282000.0
-118.47,34.3,20.0,2495.0,551.0,2314.0,567.0,1.5911,<1H OCEAN,192200.0
-118.39,34.06,37.0,2975.0,640.0,1291.0,654.0,4.7772,<1H OCEAN,500001.0
-117.05,32.71,25.0,3292.0,608.0,2266.0,592.0,3.2986,NEAR OCEAN,119200.0
-118.91,36.79,13.0,2470.0,257.0,187.0,80.0,3.7857,INLAND,78600.0
-118.46,34.16,23.0,4590.0,127.0,2195.0,1139.0,4.3438,<1H OCEAN,334900.0
-118.32,34.04,51.0,1008.0,2812.0,544.0,223.0,2.8654,NEAR OCEAN,176800.0
-124.16,41.74,10.0,2715.0,2812.0,1532.0,530.0,5.4138,NEAR OCEAN,69500.0
-118.0,33.66,18.0,2809.0,2812.0,1260.0,638.0,3.2353,<1H OCEAN,252900.0
-118.19,34.2,43.0,2031.0,294.0,859.0,302.0,5.0194,<1H OCEAN,483700.0
-117.06,32.76,36.0,2785.0,577.0,1275.0,527.0,2.3015,INLAND,156800.0
-121.5,38.52,13.0,3014.0,587.0,1261.0,427.0,7.3658,INLAND,59100.0
-120.57,40.43,50.0,5330.0,461.0,1121.0,402.0,3.2798,INLAND,71500.0
-122.23,37.76,2.0,1612.0,1361.0,805.0,321.0,2.6842,NEAR OCEAN,335300.0
-118.13,33.89,37.0,599.0,154.0,361.0,139.0,10.959,<1H OCEAN,225800.0
-118.53,34.18,23.0,3769.0,2269.0,3687.0,1894.0,3.1887,<1H OCEAN,189300.0
-121.96,37.28,23.0,5805.0,769.0,2846.0,998.0,4.0174,<1H OCEAN,273900.0
-118.96,35.87,33.0,517.0,1659.0,888.0,277.0,2.5213,INLAND,96200.0
-117.64,33.49,3.0,2516.0,429.0,781.0,337.0,5.6197,<1H OCEAN,271600.0
-121.45,38.54,10.0,3421.0,734.0,1441.0,727.0,1.9485,NEAR OCEAN,86600.0
-117.93,33.87,14.0,4086.0,1742.0,429.0,185.0,2.315,<1H OCEAN,182100.0
-120.86,37.6,25.0,1178.0,206.0,709.0,214.0,4.5625,<1H OCEAN,133600.0
-117.98,33.81,23.0,897.0,156.0,479.0,161.0,4.7986,<1H OCEAN,215600.0
-117.97,33.89,17.0,1740.0,445.0,1158.0,412.0,2.8649,<1H OCEAN,137500.0
-117.25,33.01,16.0,3892.0,1224.0,1454.0,524.0,7.7317,INLAND,396000.0
-122.02,37.56,23.0,2034.0,2035.0,2461.0,829.0,3.1371,INLAND,223400.0
-122.45,37.7,16.0,1821.0,1336.0,4375.0,1231.0,5.1788,NEAR OCEAN,267000.0
-119.37,36.19,13.0,5330.0,971.0,889.0,276.0,2.5556,INLAND,66100.0
-117.89,33.77,29.0,2577.0,445.0,1849.0,470.0,4.4732,<1H OCEAN,194800.0
-118.3,34.11,52.0,3136.0,675.0,1213.0,606.0,5.4171,<1H OCEAN,391900.0
-121.44,38.47,10.0,5666.0,1153.0,3139.0,1131.0,3.3608,INLAND,108900.0
-122.19,37.76,10.0,1368.0,282.0,790.0,269.0,7.1262,<1H OCEAN,91400.0
-118.1,34.7,5.0,10356.0,1647.0,4562.0,1427.0,4.9806,<1H OCEAN,141100.0
-122.32,37.56,28.0,537.0,2812.0,355.0,194.0,2.9955,NEAR OCEAN,250000.0
-121.24,38.79,14.0,870.0,1124.0,706.0,269.0,1.7422,INLAND,110200.0
-122.52,38.67,35.0,5266.0,256.0,708.0,253.0,3.4539,INLAND,300000.0
-118.26,33.94,51.0,1103.0,265.0,760.0,247.0,1.6887,<1H OCEAN,99600.0
-117.3,33.07,16.0,3147.0,765.0,2165.0,690.0,3.5585,INLAND,284800.0
-116.95,33.78,10.0,3409.0,804.0,1939.0,739.0,1.7303,NEAR OCEAN,74000.0
-120.71,38.85,33.0,1877.0,479.0,884.0,323.0,6.5989,INLAND,120100.0
-118.45,34.44,16.0,2197.0,2574.0,7030.0,2440.0,4.6861,<1H OCEAN,187900.0
-121.99,37.26,29.0,4126.0,365.0,982.0,339.0,7.9234,<1H OCEAN,500001.0
-118.12,34.56,5.0,6446.0,1154.0,3427.0,1104.0,3.9936,INLAND,148500.0
-117.9,34.06,37.0,1330.0,651.0,578.0,192.0,5.6406,<1H OCEAN,266200.0
-117.85,33.88,14.0,4753.0,681.0,2138.0,678.0,7.3658,NEAR OCEAN,288500.0
-118.29,33.95,35.0,1401.0,362.0,1357.0,327.0,2.0917,NEAR OCEAN,99300.0
-120.43,34.96,13.0,1799.0,470.0,1416.0,408.0,2.0673,INLAND,136900.0
-117.28,34.16,26.0,1570.0,4135.0,1068.0,501.0,4.7071,INLAND,122100.0
-121.45,38.61,13.0,1758.0,1525.0,1094.0,484.0,1.5809,INLAND,70000.0
-118.29,34.09,39.0,6476.0,173.0,586.0,151.0,1.8056,<1H OCEAN,262500.0
-121.98,38.34,13.0,3616.0,672.0,2022.0,652.0,4.0536,<1H OCEAN,134800.0
